"REPD Ref","Status","Site Name","Technology","Capacity (MW)","Local Authority","LA Code"
"Aberdeenshire","Frodo Solar and Battery Energy Development","Solar Photovoltaics",60.1,"Application Submitted","Aberdeenshire","S12000034"
"Aberdeenshire","Meikle Whiterashes - Biomass Boilers","Biomass (dedicated)",0.2,"Awaiting Construction","Aberdeenshire","S12000034"
"Argyll and Bute","Earraghail Renewable Energy Development","Solar Photovoltaics",5,"Application Submitted","Argyll and Bute","S12000035"
"Argyll and Bute","Blarghour Wind Farm","Wind Onshore",57.8,"Awaiting Construction","Argyll and Bute","S12000035"
"Argyll and Bute","Earraghail Renewable Energy Development","Wind Onshore",78,"Application Submitted","Argyll and Bute","S12000035"
"Argyll and Bute","High Constellation Wind Farm","Wind Onshore",48,"Awaiting Construction","Argyll and Bute","S12000035"
"Argyll and Bute","Narachan Wind Farm","Wind Onshore",95.2,"Application Submitted","Argyll and Bute","S12000035"
"Argyll and Bute","Airigh Wind Farm","Wind Onshore",58.8,"Awaiting Construction","Argyll and Bute","S12000035"
"Argyll and Bute","Tangy 4 Wind Farm","Wind Onshore",80,"Awaiting Construction","Argyll and Bute","S12000035"
"Argyll and Bute","Clachaig Glen","Wind Onshore",60,"Application Submitted","Argyll and Bute","S12000035"
"Borders","Teviot Wind Farm","Wind Onshore",409,"Application Submitted","Scottish Borders","S12000026"
"Borders","Teviot Wind Farm","Solar Photovoltaics",34,"Application Submitted","Scottish Borders","S12000026"
"Borders","Crystal Rig Wind Farm Phase IV","Wind Onshore",48,"Awaiting Construction","Scottish Borders","S12000026"
"Borders","Greystone Knowe Wind Farm - Wind Farm","Wind Onshore",75,"Application Submitted","Scottish Borders","S12000026"
"Dumfries and Galloway","Shepherd's Rig Wind Farm","Wind Onshore",78.6,"Application Submitted","Dumfries and Galloway","S12000006"
"Dumfries and Galloway","Scoop Hill Wind Farm","Wind Onshore",525,"Application Submitted","Dumfries and Galloway","S12000006"
"Dumfries and Galloway","Mid Moile Wind Farm","Wind Onshore",99.4,"Application Submitted","Dumfries and Galloway","S12000006"
"Dumfries and Galloway","Garcrogo Hill And Barmark Hill, Corsock - Wind Farm & Battery Storage","Wind Onshore",NA,"Application Submitted","Dumfries and Galloway","S12000006"
"Dumfries and Galloway","Kilgallioch Windfarm (Extension)","Wind Onshore",62,"Awaiting Construction","Dumfries and Galloway","S12000006"
"Dumfries and Galloway","Bloch Wind Farm & Battery Storage (Solway Bank Extension)","Wind Onshore",126,"Application Submitted","Dumfries and Galloway","S12000006"
"Dumfries and Galloway","Kellwood Road - Solar Panels","Solar Photovoltaics",0.16,"Application Submitted","Dumfries and Galloway","S12000006"
"Dumfries and Galloway","Windy Standard III Wind Farm (Brockloch Rig Phase 2)","Wind Onshore",67.5,"Awaiting Construction","Dumfries and Galloway","S12000006"
"Dumfries and Galloway","Sandy Knowe Wind Farm Extension","Wind Onshore",21.6,"Application Submitted","Dumfries and Galloway","S12000006"
"Dumfries and Galloway","Sandy Knowe Wind Farm","Wind Onshore",81.6,"Under Construction","Dumfries and Galloway","S12000006"
"Dumfries and Galloway","Plascow Farm - Solar Array","Solar Photovoltaics",NA,"Application Submitted","Dumfries and Galloway","S12000006"
"Dumfries and Galloway","Troston Loch","Wind Onshore",67.2,"Awaiting Construction","Dumfries and Galloway","S12000006"
"Dumfries and Galloway","Faw Side Community Wind Farm","Wind Onshore",315,"Application Submitted","Dumfries and Galloway","S12000006"
"Dumfries and Galloway","Lockerbie Creamery - Anaerobic Digester","Anaerobic Digestion",NA,"Awaiting Construction","Dumfries and Galloway","S12000006"
"Dumfries and Galloway","Lochside Of Fell, Crocketford - Solar Array","Solar Photovoltaics",0.3,"Application Submitted","Dumfries and Galloway","S12000006"
"Dumfries and Galloway","Sanquhar 2 Community Wind Farm","Wind Onshore",308,"Application Submitted","Dumfries and Galloway","S12000006"
"Dumfries and Galloway","Stranoch 2","Wind Onshore",84,"Awaiting Construction","Dumfries and Galloway","S12000006"
"Dumfries and Galloway","Kilgallioch Windfarm (Extension - Solar)","Solar Photovoltaics",20,"Awaiting Construction","Dumfries and Galloway","S12000006"
"Dumfries and Galloway","Hopsrig Wind Farm","Wind Onshore",85.5,"Application Submitted","Dumfries and Galloway","S12000006"
"Dumfries and Galloway","James And Sons, Johnstonebridge - Solar Panels","Solar Photovoltaics",0.2,"Application Submitted","Dumfries and Galloway","S12000006"
"East Ayrshire","Benbrack Wind Farm","Wind Onshore",72,"Under Construction","East Ayrshire","S12000008"
"East Ayrshire","Greenburn Wind Park","Wind Onshore",67.2,"Application Submitted","East Ayrshire","S12000008"
"East Ayrshire","Pencloe Wind Farm","Wind Onshore",85.5,"Awaiting Construction","East Ayrshire","S12000008"
"East Ayrshire","Knockkippen Wind, Solar & Battery Farm","Solar Photovoltaics",20,"Application Submitted","East Ayrshire","S12000008"
"East Ayrshire","Knockkippen Wind, Solar & Battery Farm","Wind Onshore",60,"Application Submitted","East Ayrshire","S12000008"
"East Ayrshire","Lethans Wind Farm","Wind Onshore",105.6,"Awaiting Construction","East Ayrshire","S12000008"
"East Ayrshire","Lethans Wind Farm Extension","Wind Onshore",66,"Application Submitted","East Ayrshire","S12000008"
"Fife","Wemyss Estate - Randolph Solar Farm & Battery Energy Storage","Solar Photovoltaics",50,"Awaiting Construction","Fife","S12000047"
"Highland","Braemore","Wind Onshore",54,"Awaiting Construction","Highland","S12000017"
"Highland","Tomchrasky Estate Wind farm","Wind Onshore",84,"Application Submitted","Highland","S12000017"
"Highland","Gordonbush (extension)","Wind Onshore",47,"Under Construction","Highland","S12000017"
"Highland","Hollandmey Renewable Energy Development","Solar Photovoltaics",15,"Application Submitted","Highland","S12000017"
"Highland","Kirkan Wind Farm","Wind Onshore",81.6,"Application Submitted","Highland","S12000017"
"Highland","Ourack","Wind Onshore",105,"Application Submitted","Highland","S12000017"
"Highland","Strathy Wood","Wind Onshore",62.4,"Awaiting Construction","Highland","S12000017"
"Highland","Limekiln Wind Farm (Extension)","Wind Onshore",21,"Awaiting Construction","Highland","S12000017"
"Highland","Lethen Wind Farm  Wind Turbines and Energy Storage","Wind Onshore",102,"Application Submitted","Highland","S12000017"
"Highland","Golticlay Wind Farm","Wind Onshore",64.6,"Awaiting Construction","Highland","S12000017"
"Highland","Kintradwell Lodge - Wind Farm","Wind Onshore",63,"Application Submitted","Highland","S12000017"
"Highland","Cairnmore Hill  Wind Farm","Wind Onshore",21,"Application Submitted","Highland","S12000017"
"Highland","Strathy South","Wind Onshore",218.4,"Awaiting Construction","Highland","S12000017"
"Highland","Kirkton Energy Farm","Wind Onshore",52.8,"Application Submitted","Highland","S12000017"
"Highland","Tormsdale -Wind Farm","Wind Onshore",50,"Application Submitted","Highland","S12000017"
"Highland","Chleansaid Onshore Wind Farm","Wind Onshore",96,"Application Submitted","Highland","S12000017"
"Highland","Gorthleck - Wind turbine","Wind Onshore",0.5,"Application Submitted","Highland","S12000017"
"Highland","Limekiln Wind Farm","Wind Onshore",79.8,"Awaiting Construction","Highland","S12000017"
